pincode,city,state,district,lat,lon
131304,Sonipat,HR,Sonipat,29.14,77.04
131305,Sonipat,HR,Sonipat,29.2,76.61
131306,Sonipat,HR,Sonipat,28.87,76.91
131402,Sonipat,HR,Sonipat,28.87,76.91
131403,Sonipat,HR,Sonipat,28.95,76.93
131408,Sonipat,HR,Sonipat,28.98,76.81
131409,Sonipat,HR,Sonipat,29.44,77
132001,Karnal,HR,Karnal,29.32,29.32
132022,Karnal,HR,Karnal,29.7176111,77.0783056
132023,Karnal,HR,Karnal,29.6874444,76.9906666
132024,Karnal,HR,Karnal,29.3959722,76.9606388
132036,Karnal,HR,Karnal,28.111111,29.55555
132037,Karnal,HR,Karnal,29.3959722,76.9606388
132039,Assandh,HR,Karnal,100,100
132040,Karnal,HR,Karnal,100,100
132041,Karnal,HR,Karnal,29.5902777,76.1099166
132046,Karnal,HR,Karnal,75.9966111,29.5286111
132054,Karnal,HR,Karnal,100,100
132101,Samalkha,HR,Panipat,33.66,33.6
132102,Panipat,HR,Panipat,33.33,25.36
132103,Panipat,HR,Panipat,29.3961111,76.9603333
132104,Karnal,HR,Panipat,25.3,25.3
132105,Karnal,HR,Panipat,32.3,25.3
132106,Karnal,HR,Panipat,36.39,32.36
132107,Panipat,HR,Panipat,25.5,25.5
132108,Karnal,HR,Panipat,25.3,25.3
132113,Karnal,HR,Panipat,25.3,25.3
132114,Karnal,HR,Karnal,28.92,28.92
132115,Karnal,HR,Panipat,29.5902777,76.1099166
132116,Karnal,HR,Karnal,75.9966111,29.5286111
132117,Nilokheri,HR,Karnal,29.3959722,76.9606388
132122,Panipat,HR,Panipat,29.5902777,76.1099166
132140,Karnal,HR,Panipat,25.6,25.6
132145,Karnal,HR,Panipat,23.5,23.5
132157,Karnal,HR,Karnal,29.3959722,76.9606388
133001,Ambala,HR,Ambala,30.3349167,76.8438889
133004,Ambala,HR,Ambala,30.280537,76.880744
133005,Ambala,HR,Ambala,30.3781878,76.7766884
133006,Ambala,HR,Ambala,30.3325556,76.8798333
133008,Ambala,HR,Ambala,30.378179,76.776697
133010,Ambala,HR,Ambala,28.572633,77.23251
133101,Ambala,HR,Ambala,30.2937,76.9207
133102,Ambala,HR,Ambala,30.378745,76.955664
133103,Yamunanagar,HR,Yamunanagar,30.20001,77.14999
133104,Ambala,HR,Ambala,26.121,79.7484
133201,Ambala,HR,Ambala,30.22445,77.034
133202,Ambala,HR,Ambala,30.264186,77.126944
133203,Ambala,HR,Ambala,28.9546,78.2647
133204,Ambala,HR,Yamunanagar,30.378,76.776
133205,Ambala,HR,Ambala,30.187238,77.037736
133206,Ambala,HR,Ambala,30.316,77.235
133207,Ambala,HR,Ambala,30.2674976,77.0222963
133301,Ambala,HR,Panchkula,30.7742777,76.8948333
133302,Ambala,HR,Panchkula,30.378188,76.776687
134003,Ambala,HR,Ambala,30.3816667,76.7715
134005,Ambala,HR,Ambala,30.38425,76.7716667
134007,Ambala,HR,Ambala,30.3682963,76.805097
134008,Ambala,HR,Ambala,30.378185,76.77669
134101,Ambala,HR,Panchkula,30.7827222,76.9102778
134102,Pinjore,HR,Panchkula,30.694216,76.860558
134103,Panchkula,HR,Panchkula,30.6343333,76.91525
134104,Ambala,HR,Panchkula,30.7826389,76.9247222
134105,Panchkula,HR,Panchkula,30.38425,76.7716667
134107,Ambala,HR,Panchkula,30.7238333,76.8759167
134108,Ambala,HR,Panchkula,30.7064167,76.8727778
134109,Ambala,HR,Panchkula,30.692,76.8696
134112,Ambala,HR,Panchkula,30.565659,76.937756
134113,Ambala,HR,Panchkula,30.6765722,76.8369361
134114,Panchkula,HR,Panchkula,30.7212222,76.8525833
134116,Panchkula,HR,Panchkula,30.565659,76.937756
134117,Panchkula,HR,Panchkula,30.6691944,76.8578611
134118,Barwala,HR,Panchkula,29.36695,75.9458
134201,Ambala,HR,Ambala,30.378183,76.776692
134202,Ambala,HR,Ambala,30.451691,77.033418
134203,Naraingarh,HR,Ambala,30.3824743,77.0617433
134204,Raipur Rani,HR,Panchkula,30.56949,76.97274
134205,Ambala,HR,Panchkula,30.378183,76.776692
135001,Ambala,HR,Yamunanagar,30.1364167,77.1342222
135002,Ambala,HR,Yamunanagar,30.3781868,76.7766894
135003,Jagadhri,HR,Yamunanagar,30.244312,77.234049
135004,Yamunanagar,HR,Yamunanagar,30.3781868,76.7766894
135021,Ambala,HR,Yamunanagar,30.31587,77.52009
135101,Ambala,HR,Yamunanagar,30.12878,77.39937
135102,Bilaspur,HR,Yamunanagar,30.378,76.776
135103,Chhachhrauli,HR,Yamunanagar,30.226,77.358284
135106,Yamunanagar,HR,Yamunanagar,30.4473315,77.4472425
135133,Yamunanagar,HR,Yamunanagar,30.031234,77.210336
136020,Kaithal,HR,Kaithal,29.875369,76.606611
136021,Kaithal,HR,Kaithal,29.846383,76.663193
136026,Kaithal,HR,Kaithal,29.762047,76.559555
136027,Kaithal,HR,Kaithal,29.799859,76.4173
136030,Kurukshetra,HR,Kurukshetra,29.93617,76.551097
136033,Kaithal,HR,Kaithal,29.799859,76.4173
136034,Kaithal,HR,Kaithal,29.799859,76.4173
136035,Kaithal,HR,Kaithal,30.038024,76.298064
136038,Kurukshetra,HR,Kurukshetra,29.5702778,76.8703056
136042,Kaithal,HR,Kaithal,29.802463,76.560383
136043,Kaithal,HR,Kaithal,29.670538,76.5168
136044,Kaithal,HR,Kaithal,29.57595,76.484933
136117,Kaithal,HR,Kaithal,29.674897,76.256273
136118,Kurukshetra,HR,Kurukshetra,29.972367,76.855261
136119,Kurukshetra,HR,Kurukshetra,29.955549,76.812926
136128,Kurukshetra,HR,Kurukshetra,29.981417,76.589277
136129,Kurukshetra,HR,Kurukshetra,30.115686,76.666405
136130,Kurukshetra,HR,Kurukshetra,29.973217,76.830346
136131,Kurukshetra,HR,Kurukshetra,29.973217,76.830346
136132,Kurukshetra,HR,Kurukshetra,29.987047,77.041004
136134,Kurukshetra,HR,Kurukshetra,29.9695,76.8782
136135,Kurukshetra,HR,Kurukshetra,29.973217,76.830346
136136,Kurukshetra,HR,Kurukshetra,30.166519,76.709604
136156,Kurukshetra,HR,Kurukshetra,30.084325,76.987348
140001,Rupnagar,PB,Rupnagar,30.9666111,73.53025
140101,Morinda,PB,Rupnagar,30.692051,76.69841
140102,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140103,Kurali,PB,S.a.s Nagar,30.9666111,76.3715277
140108,Rupnagar,PB,Rupnagar,30.692051,76.69841
140109,Rupnagar,PB,S.a.s Nagar,30.9666111,76.3715277
140110,Rupnagar,PB,S.a.s Nagar,30.692051,76.69841
140111,Rupnagar,PB,Rupnagar,30.692051,76.69841
140112,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140113,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140114,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140115,Rupnagar,PB,Rupnagar,30.3876944,76.5883888
140116,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140117,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140118,Anandpur Sahib,PB,Rupnagar,30.692051,76.69841
140119,Rupnagar,PB,Rupnagar,30.692051,76.69841
140123,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140124,Rupnagar,PB,Rupnagar,30.692051,76.69841
140125,Nangal,PB,Rupnagar,30.692051,76.69841
140126,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140127,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140128,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140133,Rupnagar,PB,Rupnagar,30.9666111,76.3715277
140201,Rupnagar,PB,S.a.s Nagar,30.692051,76.69841
140301,Kharar,PB,S.a.s Nagar,30.9666111,76.3715277
140306,Rupnagar,PB,S.a.s Nagar,30.692051,76.69841
140307,Rupnagar,PB,S.a.s Nagar,30.9666111,76.3715277
140308,Rupnagar,PB,S.a.s Nagar,30.692051,76.69841
140401,Patiala,PB,Patiala,30.4859722,76.5924722
140402,Patiala,PB,Patiala,30.483997,76.593948
140405,Patiala,PB,Fatehgarh Sahib,30.56,76.31
140406,Patiala,PB,Fatehgarh Sahib,30.55,76.4
140407,Patiala,PB,Fatehgarh Sahib,30.6480833,76.39275
140408,Fatehgarh Sahib,PB,Fatehgarh Sahib,30.63,76.54
140412,Fatehgarh Sahib,PB,Fatehgarh Sahib,30.72,76.42
140413,Rupnagar,PB,S.a.s Nagar,30.9666111,76.3715277
140417,Patiala,PB,Patiala,30.46,76.7
140501,Patiala,PB,S.a.s Nagar,30.692051,76.69841
140506,Patiala,PB,S.a.s Nagar,30.692051,76.69841
140507,S.a.s Nagar,PB,S.a.s Nagar,30.692051,76.69841
140601,Patiala,PB,Patiala,30.64,76.88
140602,Patiala,PB,Fatehgarh Sahib,30.6,76.57
140603,S.a.s Nagar,PB,S.a.s Nagar,30.692051,76.69841
140604,S.a.s Nagar,PB,S.a.s Nagar,30.6703333,76.8320556
140701,Patiala,PB,Patiala,30.37,76.54
140702,Ghanaur,PB,Patiala,30.15,76.63
140802,Fatehgarh Sahib,PB,Fatehgarh Sahib,30.82,76.38
140901,Fatehgarh Sahib,PB,S.a.s Nagar,30.9666111,76.69841
141001,Ludhiana,PB,Ludhiana,30.9026389,75.83775
141002,Ludhiana,PB,Ludhiana,30.8949722,75.8413611
141003,Ludhiana,PB,Ludhiana,30.8946667,75.8503611
141004,Ludhiana,PB,Ludhiana,30.9023889,75.8146944
141006,Ludhiana,PB,Ludhiana,30.8589167,75.8616389
141007,Ludhiana,PB,Ludhiana,30.98,75.98
141008,Ludhiana,PB,Ludhiana,30.5725,75.4938
141010,Ludhiana,PB,Ludhiana,30.9023056,75.9041944
141011,Ludhiana,PB,Ludhiana,0,0
141012,Ludhiana,PB,Ludhiana,30.8803889,75.7908333
141013,Ludhiana,PB,Ludhiana,30.8593611,75.8317778
141014,Ludhiana,PB,Ludhiana,30.8682222,75.9192222
141015,Ludhiana,PB,Ludhiana,30.96,75.92
141016,Ludhiana,PB,Ludhiana,30.848,75.8905
141017,Ludhiana,PB,Ludhiana,30.846,75.9481111
141101,Ludhiana,PB,Ludhiana,28.582103,77.248525
141102,Ludhiana,PB,Ludhiana,30.84853,75.712434
141103,Ludhiana,PB,Ludhiana,30.798904,75.721158
141104,Ludhiana,PB,Ludhiana,30.758898,75.652812
141105,Ludhiana,PB,Ludhiana,30.745553,75.671719
141106,Ludhiana,PB,Ludhiana,30.7642861,75.6514138
141107,Ludhiana,PB,Ludhiana,30.709309,75.674628
141108,Ludhiana,PB,Ludhiana,30.664546,75.676173
141109,Raikot,PB,Ludhiana,30.642549,75.643282
141110,Ludhiana,PB,Ludhiana,30.907711,75.650964
141112,Ludhiana,PB,Ludhiana,30.924561,76.030487
141113,Ludhiana,PB,Ludhiana,17.398377,78.558265
141114,Samrala,PB,Ludhiana,30.8607,76.1863
141115,Machhiwara,PB,Ludhiana,31.15889,75.565515
141116,Ludhiana,PB,Ludhiana,30.835284,75.833059
141117,Ludhiana,PB,Ludhiana,30.661316,75.901319
141118,Ludhiana,PB,Ludhiana,30.681861,75.82877
141119,Ludhiana,PB,Ludhiana,28.687609,77.282161
